THROUGHPUT (tok/s) - Average across ranks
Strategy,Chunk_Size,n=1,n=2,n=4
ddp,1024,14604.33 ± 193.17,14419.40 ± 824.19,13090.67 ± 1335.44
ddp,2048,22663.30 ± 287.47,22475.76 ± 1159.05,20280.32 ± 1950.07
ddp,4096,28274.51 ± 226.17,28327.77 ± 1210.94,26750.82 ± 2317.89
ddp,8192,28188.00 ± 713.97,FAILED,FAILED
ddp,16384,FAILED,FAILED,FAILED
fsdp,1024,10289.53 ± 222.60,9907.30 ± 500.08,8986.47 ± 871.41
fsdp,2048,17678.85 ± 311.73,16886.03 ± 798.95,16059.89 ± 1484.86
fsdp,4096,24284.64 ± 261.05,23294.33 ± 914.67,22236.43 ± 1816.75
fsdp,8192,FAILED,FAILED,FAILED
fsdp,16384,FAILED,FAILED,FAILED
fsdp_dtensor,1024,3823.95 ± 127.77,3709.50 ± 161.11,3448.14 ± 164.70
fsdp_dtensor,2048,7617.04 ± 229.37,7383.18 ± 323.88,6874.39 ± 317.41
fsdp_dtensor,4096,13189.70 ± 323.79,13102.08 ± 530.11,12360.43 ± 540.25
fsdp_dtensor,8192,18603.14 ± 359.80,18196.28 ± 573.41,17442.79 ± 624.75
fsdp_dtensor,16384,18511.66 ± 395.30,18268.51 ± 331.81,17937.51 ± 417.94


LATENCY (s) - Average across ranks
Strategy,Chunk_Size,n=1,n=2,n=4
ddp,1024,4.49 ± 0.06,2.32 ± 0.44,1.52 ± 0.67
ddp,2048,5.78 ± 0.07,2.96 ± 0.44,1.87 ± 0.67
ddp,4096,9.27 ± 0.08,4.66 ± 0.44,2.68 ± 0.68
ddp,8192,18.61 ± 0.48,FAILED,FAILED
ddp,16384,FAILED,FAILED,FAILED
fsdp,1024,6.37 ± 0.14,3.35 ± 0.44,2.08 ± 0.69
fsdp,2048,7.42 ± 0.13,3.92 ± 0.45,2.29 ± 0.68
fsdp,4096,10.80 ± 0.12,5.66 ± 0.44,3.16 ± 0.67
fsdp,8192,FAILED,FAILED,FAILED
fsdp,16384,FAILED,FAILED,FAILED
fsdp_dtensor,1024,17.16 ± 0.73,8.89 ± 0.62,4.83 ± 0.45
fsdp_dtensor,2048,17.23 ± 0.67,8.93 ± 0.63,4.84 ± 0.44
fsdp_dtensor,4096,19.89 ± 0.61,10.05 ± 0.63,5.38 ± 0.44
fsdp_dtensor,8192,28.20 ± 0.65,14.45 ± 0.63,7.58 ± 0.44
fsdp_dtensor,16384,56.67 ± 1.42,28.72 ± 0.62,14.66 ± 0.46


PEAK VRAM (MB) - Maximum across ranks
Strategy,Chunk_Size,n=1,n=2,n=4
ddp,1024,15178.38,15196.77,15181.05
ddp,2048,23833.96,23851.48,23835.32
ddp,4096,41217.14,41232.90,41215.87
ddp,8192,76271.48,FAILED,FAILED
ddp,16384,FAILED,FAILED,FAILED
fsdp,1024,19679.49,16060.27,13932.03
fsdp,2048,29651.08,26030.99,23902.31
fsdp,4096,49666.25,46044.41,43914.85
fsdp,8192,FAILED,FAILED,FAILED
fsdp,16384,FAILED,FAILED,FAILED
fsdp_dtensor,1024,8095.01,5759.84,4592.30
fsdp_dtensor,2048,9983.03,7646.86,6478.82
fsdp_dtensor,4096,13771.06,11432.90,10263.86
fsdp_dtensor,8192,21395.14,19052.98,17881.94
fsdp_dtensor,16384,36835.30,34485.14,33310.10


