THROUGHPUT (tok/s) - Average across ranks
Split,Chunk_Size,mbs=1,mbs=2,mbs=4
12,1024,FAILED,FAILED,FAILED
12,2048,FAILED,FAILED,FAILED
12,3172,FAILED,FAILED,FAILED
12,4096,22741.96 ± 32.98,31688.28 ± 42.81,36803.34 ± 67.97
14,1024,FAILED,FAILED,FAILED
14,2048,FAILED,FAILED,FAILED
14,3172,FAILED,FAILED,FAILED
14,4096,24776.16 ± 24.04,33837.29 ± 56.98,38172.57 ± 83.94
16,1024,FAILED,FAILED,30540.47 ± 150.34
16,2048,FAILED,FAILED,35848.01 ± 215.95
16,3172,FAILED,FAILED,36657.19 ± 193.18
16,4096,22561.08 ± 58.05,32680.36 ± 120.93,37630.82 ± 125.37
17,1024,FAILED,FAILED,FAILED
17,2048,FAILED,FAILED,FAILED
17,3172,FAILED,FAILED,FAILED
17,4096,21705.45 ± 64.25,31436.16 ± 113.56,36740.96 ± 121.53
18,1024,FAILED,FAILED,FAILED
18,2048,FAILED,FAILED,FAILED
18,3172,FAILED,FAILED,FAILED
18,4096,20863.53 ± 60.96,30351.13 ± 89.29,36403.09 ± 119.85


LATENCY (s) - Average across ranks
Split,Chunk_Size,mbs=1,mbs=2,mbs=4
12,1024,FAILED,FAILED,FAILED
12,2048,FAILED,FAILED,FAILED
12,3172,FAILED,FAILED,FAILED
12,4096,0.7204 ± 0.0010,0.5170 ± 0.0007,0.4452 ± 0.0008
14,1024,FAILED,FAILED,FAILED
14,2048,FAILED,FAILED,FAILED
14,3172,FAILED,FAILED,FAILED
14,4096,0.6613 ± 0.0006,0.4842 ± 0.0008,0.4292 ± 0.0010
16,1024,FAILED,FAILED,0.1341 ± 0.0007
16,2048,FAILED,FAILED,0.2285 ± 0.0014
16,3172,FAILED,FAILED,0.3462 ± 0.0018
16,4096,0.7262 ± 0.0019,0.5014 ± 0.0019,0.4354 ± 0.0014
17,1024,FAILED,FAILED,FAILED
17,2048,FAILED,FAILED,FAILED
17,3172,FAILED,FAILED,FAILED
17,4096,0.7548 ± 0.0023,0.5212 ± 0.0019,0.4459 ± 0.0015
18,1024,FAILED,FAILED,FAILED
18,2048,FAILED,FAILED,FAILED
18,3172,FAILED,FAILED,FAILED
18,4096,0.7853 ± 0.0023,0.5398 ± 0.0016,0.4501 ± 0.0015


PEAK VRAM (MB) - Maximum across ranks
Split,Chunk_Size,mbs=1,mbs=2,mbs=4
12,1024,FAILED,FAILED,FAILED
12,2048,FAILED,FAILED,FAILED
12,3172,FAILED,FAILED,FAILED
12,4096,25964.43,27416.85,27826.81
14,1024,FAILED,FAILED,FAILED
14,2048,FAILED,FAILED,FAILED
14,3172,FAILED,FAILED,FAILED
14,4096,23530.53,24791.96,25238.13
16,1024,FAILED,FAILED,6411.29
16,2048,FAILED,FAILED,12119.70
16,3172,FAILED,FAILED,18393.07
16,4096,22495.05,23945.46,23507.51
17,1024,FAILED,FAILED,FAILED
17,2048,FAILED,FAILED,FAILED
17,3172,FAILED,FAILED,FAILED
17,4096,23572.26,25106.73,24802.82
18,1024,FAILED,FAILED,FAILED
18,2048,FAILED,FAILED,FAILED
18,3172,FAILED,FAILED,FAILED
18,4096,24649.03,26417.56,26097.19


VRAM DIFFERENCE (MB) - Absolute difference between ranks
Split,Chunk_Size,mbs=1,mbs=2,mbs=4
12,1024,FAILED,FAILED,FAILED
12,2048,FAILED,FAILED,FAILED
12,3172,FAILED,FAILED,FAILED
12,4096,10115.97,10427.27,11053.17
14,1024,FAILED,FAILED,FAILED
14,2048,FAILED,FAILED,FAILED
14,3172,FAILED,FAILED,FAILED
14,4096,5252.40,5178.70,5871.34
16,1024,FAILED,FAILED,613.19
16,2048,FAILED,FAILED,1219.88
16,3172,FAILED,FAILED,1873.81
16,4096,2825.38,3336.20,2414.57
17,1024,FAILED,FAILED,FAILED
17,2048,FAILED,FAILED,FAILED
17,3172,FAILED,FAILED,FAILED
17,4096,5117.04,5808.53,5002.72
18,1024,FAILED,FAILED,FAILED
18,2048,FAILED,FAILED,FAILED
18,3172,FAILED,FAILED,FAILED
18,4096,7409.48,8430.10,7594.36


VRAM SUM (MB) - Sum across ranks
Split,Chunk_Size,mbs=1,mbs=2,mbs=4
12,1024,FAILED,FAILED,FAILED
12,2048,FAILED,FAILED,FAILED
12,3172,FAILED,FAILED,FAILED
12,4096,41812.89,44406.43,44600.45
14,1024,FAILED,FAILED,FAILED
14,2048,FAILED,FAILED,FAILED
14,3172,FAILED,FAILED,FAILED
14,4096,41808.66,44405.22,44604.92
16,1024,FAILED,FAILED,12209.39
16,2048,FAILED,FAILED,23019.52
16,3172,FAILED,FAILED,34912.33
16,4096,42164.72,44554.72,44600.45
17,1024,FAILED,FAILED,FAILED
17,2048,FAILED,FAILED,FAILED
17,3172,FAILED,FAILED,FAILED
17,4096,42027.48,44404.93,44602.92
18,1024,FAILED,FAILED,FAILED
18,2048,FAILED,FAILED,FAILED
18,3172,FAILED,FAILED,FAILED
18,4096,41888.58,44405.02,44600.02
